fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country
4275,2138,3767.0,0.0,66.0,14.0,66.0,14.0,1.0,0.0,0.0,0.0,0.0,224,3,3813.0,3767.0,3813.0,5.0,0,5,0,0,25,2,87,185.42,185.0,190.5,0.0,45.07049965776865,30,9,0,0.0,36,6
4274,2137,819.0,1.0,102.0,41.0,98.0,38.0,6.0,0.0,0.0,0.0,117.0,224,117,819.0,3191.0,3191.0,3.0,0,5,0,1,7,3,300,175.26,185.0,185.42,0.0,41.59342915811088,10,6,0,0.0,36,6
4273,2137,3191.0,0.0,164.0,73.0,152.0,62.0,6.0,2.0,0.0,1.0,146.0,224,117,819.0,3191.0,3191.0,3.0,0,5,0,1,7,3,300,187.96,185.0,193.04,0.0,40.62422997946612,17,9,0,0.0,36,6
4272,2136,2792.0,0.0,31.0,20.0,28.0,17.0,8.0,3.0,1.0,0.0,138.0,224,6,2792.0,937.0,2792.0,3.0,0,6,0,2,23,2,61,187.96,242.0,193.04,0.0,44.85420944558521,17,11,0,0.0,36,6
4271,2136,937.0,0.0,32.0,15.0,27.0,12.0,0.0,0.0,0.0,0.0,37.0,224,6,2792.0,937.0,2792.0,3.0,0,6,0,2,23,2,61,193.04,265.0,198.12,0.0,42.43668720054757,39,14,0,0.0,36,6
4270,2135,440.0,0.0,10.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,224,3,440.0,1436.0,1436.0,3.0,0,0,0,0,39,1,115,170.18,145.0,177.8,0.0,39.37577002053388,21,7,1,0.0,36,6
4269,2135,1436.0,1.0,31.0,22.0,31.0,22.0,0.0,0.0,0.0,0.0,13.0,224,3,440.0,1436.0,1436.0,3.0,0,0,0,0,39,1,115,177.8,155.0,177.8,0.0,35.50992470910335,29,0,0,0.0,36,6
4268,2134,1261.0,0.0,153.0,104.0,76.0,36.0,1.0,0.0,0.0,1.0,252.0,224,117,1261.0,248.0,1261.0,3.0,0,1,0,1,7,3,300,170.18,145.0,185.42,0.0,36.73100616016427,13,6,0,0.0,36,6
4266,2133,1864.0,0.0,32.0,28.0,9.0,5.0,12.0,2.0,2.0,0.0,529.0,224,6,1864.0,3363.0,1864.0,3.0,0,5,0,1,1,3,300,185.42,185.0,190.5,0.0,35.92607802874743,17,5,0,0.0,36,6
4265,2133,3363.0,0.0,106.0,90.0,29.0,20.0,1.0,0.0,0.0,1.0,179.0,224,6,1864.0,3363.0,1864.0,3.0,0,5,0,1,1,3,300,185.42,170.0,193.04,0.0,38.19028062970568,9,4,0,0.0,36,6
4264,2132,1441.0,0.0,33.0,19.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,224,3,1441.0,2052.0,2052.0,3.0,0,1,0,1,1,3,300,167.64,145.0,170.18,0.0,41.31690622861054,19,7,0,0.0,36,6
4263,2132,2052.0,0.0,234.0,205.0,74.0,56.0,21.0,10.0,0.0,0.0,733.0,224,3,1441.0,2052.0,2052.0,3.0,0,1,0,1,1,3,300,172.72,145.0,172.72,0.0,39.61396303901437,30,12,2,1.0,36,6
4262,2131,3863.0,1.0,49.0,29.0,45.0,26.0,0.0,0.0,0.0,0.0,10.0,224,117,3863.0,1827.0,3863.0,3.0,0,0,0,0,188,1,158,180.34,145.0,190.5,0.0,38.17385352498289,23,11,0,0.0,36,6
4261,2131,1827.0,0.0,31.0,12.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,224,117,3863.0,1827.0,3863.0,3.0,0,0,0,0,188,1,158,182.88,145.0,182.88,1.0,35.36755646817249,19,3,0,0.0,36,6
