fight_stat_id,fight_id,fighter_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time
11817,5909,54.0,43,2552.0,54.0,2552.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,2562.0,5.0,6.0,12.0,32.0,935.0,785.0,1416.0,1.0,300.0
12191,6096,54.0,16,2925.0,54.0,2925.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,2603.0,5.0,6.0,12.0,40.0,1171.0,881.0,1657.0,1.0,300.0
2897,1449,64.0,4,3580.0,64.0,3580.0,3.0,0,5,0,177.8,185.0,185.42,1.0,39.29637234770705,13,3,0,0.0,127.0,0.0,0.0,3.0,5.0,98.0,60.0,117.0,0.0,300.0
3089,1545,64.0,19,2217.0,64.0,64.0,3.0,0,5,0,177.8,185.0,185.42,1.0,39.29637234770705,13,3,0,0.0,624.0,1.0,2.0,4.0,6.0,169.0,205.0,298.0,1.0,293.5
3377,1689,64.0,75,1773.0,64.0,1773.0,3.0,0,5,0,177.8,185.0,185.42,1.0,39.29637234770705,13,3,0,0.0,644.0,1.0,2.0,5.0,8.0,303.0,256.0,433.0,2.0,295.6666666666667
3817,1909,64.0,3,438.0,64.0,438.0,3.0,0,5,0,177.8,185.0,185.42,1.0,39.29637234770705,13,3,0,0.0,678.0,1.0,2.0,6.0,11.0,386.0,300.0,528.0,2.0,296.75
6826,3413,64.0,0,64.0,3421.0,64.0,3.0,0,5,0,177.8,185.0,185.42,1.0,39.29637234770705,13,3,0,0.0,795.0,1.0,2.0,7.0,17.0,428.0,354.0,604.0,2.0,259.4
11468,5734,65.0,0,65.0,976.0,65.0,3.0,0,4,0,170.18,135.0,177.8,0.0,30.31895961670089,16,4,0,0.0,5.0,0.0,0.0,0.0,0.0,34.0,18.0,35.0,1.0,166.0
11840,5920,65.0,5,65.0,1974.0,65.0,3.0,0,4,0,170.18,135.0,177.8,0.0,30.31895961670089,16,4,0,0.0,8.0,0.0,0.0,0.0,0.0,137.0,59.0,138.0,3.0,96.5
12178,6089,65.0,5,65.0,3380.0,65.0,3.0,0,4,0,170.18,135.0,177.8,0.0,30.31895961670089,16,4,0,0.0,12.0,0.0,0.0,0.0,0.0,321.0,123.0,322.0,4.0,108.0
9410,4705,66.0,6,66.0,2358.0,2358.0,3.0,0,5,0,175.26,185.0,187.96,0.0,35.630390143737166,9,1,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,12.0,0.0,42.0
9195,4598,68.0,38,2439.0,68.0,68.0,3.0,0,4,0,170.18,135.0,170.18,2.0,31.11567419575633,16,5,0,0.0,4.0,0.0,0.0,0.0,0.0,40.0,29.0,45.0,2.0,208.0
9418,4709,68.0,6,68.0,602.0,68.0,3.0,0,4,0,170.18,135.0,170.18,2.0,31.11567419575633,16,5,0,0.0,17.0,1.0,0.0,0.0,1.0,272.0,144.0,294.0,2.0,254.0
9707,4854,68.0,1,672.0,68.0,68.0,3.0,0,4,0,170.18,135.0,170.18,2.0,31.11567419575633,16,5,0,0.0,234.0,1.0,1.0,3.0,5.0,390.0,245.0,439.0,2.0,269.3333333333333
9835,4918,68.0,71,3196.0,68.0,68.0,3.0,0,4,0,170.18,135.0,170.18,2.0,31.11567419575633,16,5,0,0.0,323.0,1.0,1.0,5.0,10.0,545.0,347.0,619.0,2.0,277.0
10159,5080,68.0,15,1021.0,68.0,68.0,3.0,0,4,0,170.18,135.0,170.18,2.0,31.11567419575633,16,5,0,0.0,362.0,1.0,1.0,6.0,13.0,734.0,405.0,811.0,4.0,281.6
10698,5349,68.0,16,68.0,3041.0,68.0,3.0,0,4,0,170.18,135.0,170.18,2.0,31.11567419575633,16,5,0,0.0,448.0,1.0,1.0,8.0,15.0,842.0,467.0,927.0,7.0,241.83333333333334
11110,5555,68.0,55,68.0,4050.0,68.0,5.0,1,4,0,170.18,135.0,170.18,2.0,31.11567419575633,16,5,0,0.0,738.0,1.0,1.0,9.0,17.0,1151.0,725.0,1303.0,8.0,236.42857142857142
11800,5900,68.0,1,68.0,541.0,541.0,5.0,1,4,0,170.18,135.0,170.18,2.0,31.11567419575633,16,5,0,0.0,990.0,1.0,1.0,16.0,24.0,1288.0,828.0,1460.0,9.0,240.5
8659,4330,69.0,14,3327.0,69.0,69.0,3.0,0,2,1,165.1,115.0,160.02,0.0,34.77344284736482,17,3,0,1.0,3.0,0.0,0.0,0.0,0.0,211.0,106.0,222.0,0.0,300.0
9185,4593,69.0,64,1258.0,69.0,69.0,3.0,0,2,1,165.1,115.0,160.02,0.0,34.77344284736482,17,3,0,1.0,3.0,0.0,0.0,0.0,0.0,438.0,177.0,449.0,0.0,300.0
